time,major,category,num_asleep,year,count
2/17/20 0:00,BBB,CAS,2,2023,2
2/17/20 0:00,Computer Science,ENG,1,2023,4
2/17/20 0:00,Business Analytics,Wharton,1,2022,2
2/17/20 0:00,CBE,ENG,1,2021,2
2/17/20 0:00,DMD,ENG,2,2021,7
2/17/20 0:00,CBE,ENG,1,2022,2
2/17/20 0:00,Political Science,CAS,1,2021,2
2/17/20 0:00,BBB,CAS,2,2022,6
2/17/20 0:00,Chemistry,CAS,1,2023,1
2/17/20 0:00,Computer Science,ENG,1,2022,21
2/17/20 0:00,Statistics,Wharton,1,2021,3
2/17/20 0:00,Finance,Wharton,1,2022,7
2/17/20 0:00,Neuroscience,NULL,1,2022,1
2/17/20 0:00,BBB,CAS,1,2021,2
2/17/20 0:00,Misc,N/A,1,2021,1
2/17/20 0:00,Urban Studies,CAS,1,2022,1
2/17/20 0:00,Computer Science,ENG,2,2021,16
2/17/20 0:00,Political Science,CAS,1,2022,1
2/17/20 0:00,Misc,N/A,1,N/A,10
2/17/20 0:00,English,CAS,1,2021,2
2/17/20 0:00,Finance,Wharton,1,2021,2
2/17/20 0:00,Finance and Computer Science,NULL,1,2021,1
2/17/20 0:00,Nutrition,CAS,1,2022,1
2/17/20 0:00,BBB,CAS,1,2020,4
2/17/20 0:00,Misc,N/A,1,2022,1
2/17/20 0:00,Undecided,NULL,1,2023,1
2/17/20 0:00,PPE,CAS,1,2020,1
2/17/20 0:00,Nursing,NURS,1,2022,1
2/17/20 0:00,Misc,N/A,1,2023,4
2/17/20 0:00,CBE,ENG,1,2023,2
2/17/20 0:00,GSWS,CAS,1,2020,1
2/17/20 0:15,BBB,CAS,2.0,2023,2
2/17/20 0:15,Computer Science,ENG,1.25,2023,4
2/17/20 0:15,Business Analytics,Wharton,1.0,2022,2
2/17/20 0:15,CBE,ENG,1.0,2021,2
2/17/20 0:15,DMD,ENG,2.5,2021,7
2/17/20 0:15,CBE,ENG,1.0,2022,2
2/17/20 0:15,Political Science,CAS,1.0,2021,2
2/17/20 0:15,BBB,CAS,2.25,2022,6
2/17/20 0:15,Chemistry,CAS,1.0,2023,1
2/17/20 0:15,Computer Science,ENG,2.25,2022,21
2/17/20 0:15,Statistics,Wharton,1.5,2021,3
2/17/20 0:15,Finance,Wharton,1.25,2022,7
2/17/20 0:15,Neuroscience,NULL,1.0,2022,1
2/17/20 0:15,BBB,CAS,1.25,2021,2
2/17/20 0:15,Misc,N/A,1.0,2021,1
2/17/20 0:15,Urban Studies,CAS,1.0,2022,1
2/17/20 0:15,Computer Science,ENG,3.75,2021,16
2/17/20 0:15,Political Science,CAS,1.0,2022,1
2/17/20 0:15,Misc,N/A,1.5,N/A,10
2/17/20 0:15,English,CAS,1.0,2021,2
2/17/20 0:15,Finance,Wharton,1.25,2021,2
2/17/20 0:15,Finance and Computer Science,NULL,1.0,2021,1
2/17/20 0:15,Nutrition,CAS,1.0,2022,1
2/17/20 0:15,BBB,CAS,1.0,2020,4
2/17/20 0:15,Misc,N/A,1.0,2022,1
2/17/20 0:15,Undecided,NULL,1.0,2023,1
2/17/20 0:15,PPE,CAS,1.0,2020,1
2/17/20 0:15,Nursing,NURS,1.0,2022,1
2/17/20 0:15,Misc,N/A,1.25,2023,4
2/17/20 0:15,CBE,ENG,1.0,2023,2
2/17/20 0:15,GSWS,CAS,1.0,2020,1
2/17/20 0:30,BBB,CAS,2.0,2023,2
2/17/20 0:30,Computer Science,ENG,1.5,2023,4
2/17/20 0:30,Business Analytics,Wharton,1.0,2022,2
2/17/20 0:30,CBE,ENG,1.0,2021,2
2/17/20 0:30,DMD,ENG,3.0,2021,7
2/17/20 0:30,CBE,ENG,1.0,2022,2
2/17/20 0:30,Political Science,CAS,1.0,2021,2
2/17/20 0:30,BBB,CAS,2.5,2022,6
2/17/20 0:30,Chemistry,CAS,1.0,2023,1
2/17/20 0:30,Computer Science,ENG,3.5,2022,21
2/17/20 0:30,Statistics,Wharton,2.0,2021,3
2/17/20 0:30,Finance,Wharton,1.5,2022,7
2/17/20 0:30,Neuroscience,NULL,1.0,2022,1
2/17/20 0:30,BBB,CAS,1.5,2021,2
2/17/20 0:30,Misc,N/A,1.0,2021,1
2/17/20 0:30,Urban Studies,CAS,1.0,2022,1
2/17/20 0:30,Computer Science,ENG,5.5,2021,16
2/17/20 0:30,Political Science,CAS,1.0,2022,1
2/17/20 0:30,Misc,N/A,2.0,N/A,10
2/17/20 0:30,English,CAS,1.0,2021,2
2/17/20 0:30,Finance,Wharton,1.5,2021,2
2/17/20 0:30,Finance and Computer Science,NULL,1.0,2021,1
2/17/20 0:30,Nutrition,CAS,1.0,2022,1
2/17/20 0:30,BBB,CAS,1.0,2020,4
2/17/20 0:30,Misc,N/A,1.0,2022,1
2/17/20 0:30,Undecided,NULL,1.0,2023,1
2/17/20 0:30,PPE,CAS,1.0,2020,1
2/17/20 0:30,Nursing,NURS,1.0,2022,1
2/17/20 0:30,Misc,N/A,1.5,2023,4
2/17/20 0:30,CBE,ENG,1.0,2023,2
2/17/20 0:30,GSWS,CAS,1.0,2020,1
2/17/20 0:45,BBB,CAS,2.0,2023,2
2/17/20 0:45,Computer Science,ENG,1.75,2023,4
2/17/20 0:45,Business Analytics,Wharton,1.0,2022,2
2/17/20 0:45,CBE,ENG,1.0,2021,2
2/17/20 0:45,DMD,ENG,3.5,2021,7
2/17/20 0:45,CBE,ENG,1.0,2022,2
2/17/20 0:45,Political Science,CAS,1.0,2021,2
2/17/20 0:45,BBB,CAS,2.75,2022,6
2/17/20 0:45,Chemistry,CAS,1.0,2023,1
2/17/20 0:45,Computer Science,ENG,4.75,2022,21
2/17/20 0:45,Statistics,Wharton,2.5,2021,3
2/17/20 0:45,Finance,Wharton,1.75,2022,7
2/17/20 0:45,Neuroscience,NULL,1.0,2022,1
2/17/20 0:45,BBB,CAS,1.75,2021,2
2/17/20 0:45,Misc,N/A,1.0,2021,1
2/17/20 0:45,Urban Studies,CAS,1.0,2022,1
2/17/20 0:45,Computer Science,ENG,7.25,2021,16
2/17/20 0:45,Political Science,CAS,1.0,2022,1
2/17/20 0:45,Misc,N/A,2.5,N/A,10
2/17/20 0:45,English,CAS,1.0,2021,2
2/17/20 0:45,Finance,Wharton,1.75,2021,2
2/17/20 0:45,Finance and Computer Science,NULL,1.0,2021,1
2/17/20 0:45,Nutrition,CAS,1.0,2022,1
2/17/20 0:45,BBB,CAS,1.0,2020,4
2/17/20 0:45,Misc,N/A,1.0,2022,1
2/17/20 0:45,Undecided,NULL,1.0,2023,1
2/17/20 0:45,PPE,CAS,1.0,2020,1
2/17/20 0:45,Nursing,NURS,1.0,2022,1
2/17/20 0:45,Misc,N/A,1.75,2023,4
2/17/20 0:45,CBE,ENG,1.0,2023,2
2/17/20 0:45,GSWS,CAS,1.0,2020,1
2/17/20 0:45,BBB,CAS,2,2023,2
2/17/20 0:45,Nutrition,CAS,1,2022,1
2/17/20 0:45,Computer Science,ENG,2,2023,4
2/17/20 0:45,Business Analytics,Wharton,1,2022,2
2/17/20 0:45,CBE,ENG,1,2021,2
2/17/20 0:45,Philosophy,CAS,1,2021,1
2/17/20 0:45,DMD,ENG,4,2021,7
2/17/20 0:45,Cognitive Science,NULL,1,2023,1
2/17/20 0:45,CBE,ENG,1,2022,2
2/17/20 0:45,Political Science,CAS,1,2021,2
2/17/20 0:45,OIDD,Wharton,2,2020,2
2/17/20 0:45,BBB,CAS,3,2022,6
2/17/20 0:45,Chemistry,CAS,1,2023,1
2/17/20 0:45,Computer Science,ENG,6,2022,21
2/17/20 0:45,International Studies and Business,NULL,1,2023,1
2/17/20 0:45,Statistics,Wharton,3,2021,3
2/17/20 0:45,Economics,CAS,1,2023,2
2/17/20 0:45,Nursing,NURS,1,2020,1
2/17/20 0:45,Mathematical Economics,CAS,1,2021,1
2/17/20 0:45,Finance,Wharton,2,2022,7
2/17/20 0:45,SSE,NULL,1,2020,1
2/17/20 0:45,Neuroscience,NULL,1,2022,1
2/17/20 0:45,BBB,CAS,2,2021,2
2/17/20 0:45,Misc,N/A,1,2021,1
2/17/20 0:45,Urban Studies,CAS,1,2022,1
2/17/20 0:45,Computer Science,ENG,9,2021,16
2/17/20 0:45,Political Science,CAS,1,2022,1
2/17/20 0:45,Misc,N/A,3,N/A,10
2/17/20 0:45,Statistics,Wharton,2,2020,2
2/17/20 0:45,Communications,CAS,1,2021,1
2/17/20 0:45,English,CAS,1,2021,2
2/17/20 0:45,Finance,Wharton,2,2021,2
2/17/20 0:45,Finance and Computer Science,NULL,1,2021,1
